modelKey,model,scenario,lang,frameName,ok,errored,turns,toolCalls,evalCalls,discoveryCalls,singleCall,toolErrors,mcpRoundTrips,tokensIn,tokensOut,peakContextTokens,compactions,wallMs,costUsd
"deepseek","deepseek/deepseek-v3.2","open-prs-breakdown","js","workflow",1,0,6,5,5,0,0,4,13,29625,1522,5872,0,53058,0.007306
"deepseek","deepseek/deepseek-v3.2","needle-sweep","js","repl",1,0,8,7,6,1,0,4,15,49002,2620,7960,0,94677,0.012120
"deepseek","deepseek/deepseek-v3.2","needle-sweep","js","program",1,0,9,8,8,0,0,0,22,44644,1443,6091,0,41243,0.010718
"deepseek","deepseek/deepseek-v3.2","needle-sweep","js","workflow",1,0,5,4,3,1,0,2,15,27384,1907,7129,0,68282,0.006925
"xiaomi","xiaomi/mimo-v2.5","merged-prs-open-linear","js","repl",1,0,7,6,5,1,0,0,15,44680,1048,7895,0,39707,0.004985
"xiaomi","xiaomi/mimo-v2.5","merged-prs-open-linear","js","program",1,0,7,6,6,0,0,0,54,38428,1730,6885,0,45860,0.004519
"xiaomi","xiaomi/mimo-v2.5","merged-prs-open-linear","js","workflow",1,0,5,4,4,0,0,1,33,24376,1366,5856,0,29561,0.002942
"xiaomi","xiaomi/mimo-v2.5","busiest-assignee","js","repl",1,0,3,2,2,0,0,0,14,12420,357,4429,0,13052,0.001404
"xiaomi","xiaomi/mimo-v2.5","busiest-assignee","js","program",1,0,3,2,2,0,0,0,14,12044,284,4215,0,13272,0.001344
"xiaomi","xiaomi/mimo-v2.5","busiest-assignee","js","workflow",1,0,2,1,1,0,1,0,13,8224,280,4269,0,7284,0.000942
"xiaomi","xiaomi/mimo-v2.5","email-top-error","js","repl",1,0,5,4,4,0,0,0,16,20770,468,4473,0,23417,0.002312
"xiaomi","xiaomi/mimo-v2.5","email-top-error","js","program",1,0,3,2,2,0,0,0,14,12201,254,4238,0,11562,0.001352
"xiaomi","xiaomi/mimo-v2.5","email-top-error","js","workflow",1,0,2,1,1,0,1,0,14,8318,359,4349,0,11481,0.000974
"xiaomi","xiaomi/mimo-v2.5","incident-branch","js","repl",0,0,4,3,3,0,0,1,16,17426,934,4903,0,20487,0.002091
"xiaomi","xiaomi/mimo-v2.5","incident-branch","js","program",1,0,2,1,1,0,1,0,14,8157,386,4262,0,8419,0.000965
"xiaomi","xiaomi/mimo-v2.5","incident-branch","js","workflow",1,0,4,4,1,3,1,0,14,17630,525,4839,0,17263,0.001998
"xiaomi","xiaomi/mimo-v2.5","open-prs-breakdown","js","repl",1,0,4,3,3,0,0,2,13,17533,892,4872,0,32542,0.002091
"xiaomi","xiaomi/mimo-v2.5","open-prs-breakdown","js","program",1,0,2,1,1,0,1,0,13,8136,415,4294,0,7818,0.000970
"xiaomi","xiaomi/mimo-v2.5","open-prs-breakdown","js","workflow",1,0,3,2,2,0,0,1,13,13084,673,4695,0,18242,0.001562
"xiaomi","xiaomi/mimo-v2.5","needle-sweep","js","repl",1,0,3,2,2,0,0,1,15,13393,1035,5177,0,20364,0.001696
"xiaomi","xiaomi/mimo-v2.5","needle-sweep","js","program",1,0,3,2,2,0,0,0,16,13800,909,5177,0,20526,0.001704
"xiaomi","xiaomi/mimo-v2.5","needle-sweep","js","workflow",1,0,2,1,1,0,1,0,18,8820,590,4825,0,19756,0.001091
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","merged-prs-open-linear","js","repl",0,0,2,1,1,0,1,0,22,7711,331,4026,0,3228,0.000448
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","merged-prs-open-linear","js","program",1,0,5,4,3,0,0,2,14,21319,420,5315,0,5284,0.001146
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","merged-prs-open-linear","js","workflow",0,0,3,3,1,0,1,2,14,12073,435,4374,0,5051,0.000686
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","busiest-assignee","js","repl",1,0,13,12,9,1,0,10,14,71660,1658,6896,0,14425,0.003898
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","busiest-assignee","js","program",1,0,5,4,1,1,1,2,13,23179,131,5859,0,2149,0.001184
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","busiest-assignee","js","workflow",1,0,6,5,3,1,0,3,13,26076,531,4876,0,6452,0.001405
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","email-top-error","js","repl",1,0,14,14,11,1,0,12,15,77680,1895,6901,0,24366,0.004244
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","email-top-error","js","program",0,0,14,15,13,1,0,14,12,82785,2538,7497,0,25316,0.004621
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","email-top-error","js","workflow",0,0,14,14,10,2,0,12,12,79266,1830,7043,0,20539,0.004311
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-branch","js","repl",1,0,10,10,4,2,0,7,15,55925,1141,7131,0,10606,0.003013
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-branch","js","program",1,0,6,5,2,1,0,3,14,28212,472,5470,0,5303,0.001500
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-branch","js","workflow",1,0,3,3,1,0,1,2,15,12150,315,4320,0,3275,0.000667
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","open-prs-breakdown","js","repl",1,0,3,2,2,0,0,0,14,11435,183,3983,0,1865,0.000607
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","open-prs-breakdown","js","program",1,0,2,1,1,0,1,0,13,7651,193,3959,0,3151,0.000419
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","open-prs-breakdown","js","workflow",0,0,14,14,13,0,0,13,13,67296,2160,6118,0,19608,0.003775
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","needle-sweep","js","repl",0,0,14,13,13,0,0,12,15,74433,3076,7321,0,43571,0.004306
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","needle-sweep","js","program",0,0,15,16,13,3,0,13,12,100662,2821,8839,1,48448,0.005569
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","needle-sweep","js","workflow",0,0,3,4,1,3,1,0,15,16794,430,6707,0,7128,0.000921
