modelKey,model,scenario,order,pick,ok,errored,turns,evalCalls,repl,program,workflow,tokensIn,tokensOut,costUsd
"xiaomi","xiaomi/mimo-v2.5","reconcile-ghost-issues","A","repl",1,0,9,8,7,0,1,42835,1429,0.004898
"xiaomi","xiaomi/mimo-v2.5","reconcile-ghost-issues","B","workflow",1,0,4,3,0,0,3,15961,1616,0.002128
"xiaomi","xiaomi/mimo-v2.5","repo-health-report","A","repl",1,0,3,2,1,0,1,12130,1043,0.001566
"xiaomi","xiaomi/mimo-v2.5","repo-health-report","B","repl",1,0,3,2,1,0,1,10614,562,0.001272
"xiaomi","xiaomi/mimo-v2.5","incident-branch","A","workflow",1,0,4,3,0,0,3,15333,1169,0.001937
"xiaomi","xiaomi/mimo-v2.5","incident-branch","B","workflow",1,0,2,1,0,0,1,6659,448,0.000825
"xiaomi","xiaomi/mimo-v2.5","escalate-hot-services","A","repl",1,0,7,6,4,0,2,29387,2074,0.003666
"xiaomi","xiaomi/mimo-v2.5","escalate-hot-services","B","workflow",1,0,3,2,0,0,2,11447,1328,0.001574
"xiaomi","xiaomi/mimo-v2.5","incident-commander","A","repl",1,0,4,3,2,0,1,16863,1462,0.002180
"xiaomi","xiaomi/mimo-v2.5","incident-commander","B","workflow",1,0,2,1,0,0,1,7105,782,0.000965
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","merged-prs-open-linear","A","repl",1,0,3,2,2,0,0,9773,335,0.000552
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","merged-prs-open-linear","B","workflow",0,1,15,14,6,0,8,77327,2429,0.004328
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","reconcile-ghost-issues","A","workflow",0,1,18,15,4,0,11,107220,2970,0.005925
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","reconcile-ghost-issues","B","repl",0,0,19,11,8,0,3,107805,962,0.005573
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","repo-health-report","A","repl",1,0,3,3,2,0,1,17722,482,0.000978
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","repo-health-report","B","repl",1,0,5,3,2,0,1,21283,1259,0.001303
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-branch","A","repl",0,0,5,1,1,0,0,18741,225,0.000980
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-branch","B","",0,0,1,0,0,0,0,2982,41,0.000157
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","escalate-hot-services","A","",0,0,1,0,0,0,0,3016,65,0.000163
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","escalate-hot-services","B","",0,0,1,0,0,0,0,3016,65,0.000163
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-commander","A","",0,0,1,0,0,0,0,3032,86,0.000168
"qwen30b","qwen/qwen3-30b-a3b-instruct-2507","incident-commander","B","",0,0,1,0,0,0,0,3032,31,0.000157
